VIN,Price,Model,Year,Drivetrain,Exterior Color,Interior Color,Wheels,Mileage,Location,History
5YJSA1E24HF229221,55700,Model S,2017,Dual Motor 100Kwh,Red Multi-Coat,Cream Premium,"19"" Sport Wheels",40757,"Lathrop, CA",CLEAN
5YJSA1E27HF210954,55700,Model S,2017,Dual Motor 100Kwh,Solid Black,Black,"19"" Sport Wheels",41268,"Vienna, VA",CLEAN
5YJSA1E24HF217148,55700,Model S,2017,Dual Motor 100Kwh,Pearl White Multi-Coat,White,"19"" Sport Wheels",49727,"Lathrop, CA",CLEAN
5YJSA1E21HF202557,55800,Model S,2017,Dual Motor 100Kwh,Solid Black,White,"19"" Sport Wheels",46490,"Costa Mesa, CA",CLEAN
5YJSA1E22HF222381,58900,Model S,2017,Dual Motor 100Kwh,Pearl White Multi-Coat,Cream Premium,"19"" Sport Wheels",28339,"Lisle, IL",CLEAN
5YJSA1E23HF187611,59000,Model S,2017,Dual Motor 100Kwh,Silver Metallic,Tan,"19"" Sport Wheels",24371,"Lathrop, CA",CLEAN
5YJSA1E22HF219609,59300,Model S,2017,Dual Motor 100Kwh,Deep Blue Metallic,Cream Premium,"19"" Sport Wheels",16787,"Lathrop, CA",CLEAN
5YJSA1E29HF226184,59300,Model S,2017,Dual Motor 100Kwh,Model X Grey,Cream Premium,"19"" Sport Wheels",22483,"Columbus, OH",CLEAN
5YJSA1E27HF222649,59700,Model S,2017,Dual Motor 100Kwh,Solid Black,Black,"19"" Sport Wheels",24898,"Lathrop, CA",CLEAN
5YJSA1E43GF159405,60200,Model S,2016,Dual Motor 100Kwh Performance,Brown Metallic,Tan,"19"" Sport Wheels",41165,"Lathrop, CA",CLEAN
5YJSA1E2XHF227876,61000,Model S,2017,Dual Motor 100Kwh,Silver Metallic,Cream Premium,"19"" Sport Wheels",19787,"Lathrop, CA",CLEAN
5YJSA1E25HF227364,61000,Model S,2017,Dual Motor 100Kwh,Silver Metallic,Black Cloth,"19"" Sport Wheels",12107,,CLEAN
5YJSA1E22HF228827,61100,Model S,2017,Dual Motor 100Kwh,Pearl White Multi-Coat,Cream Premium,"19"" Sport Wheels",11135,"Scottsdale, AZ",CLEAN
5YJSA1E22HF233316,61200,Model S,2017,Dual Motor 100Kwh,Model X Grey,White,"21"" Wheels",32423,"Lathrop, CA",CLEAN
5YJSA1E28HF202040,61900,Model S,2017,Dual Motor 100Kwh,Model X Grey,White,"21"" Wheels",15992,"Scottsdale, AZ",CLEAN
5YJSA1E22HF229735,62900,Model S,2017,Dual Motor 100Kwh,Model X Grey,Black Cloth,"19"" Sport Wheels",20005,"Lathrop, CA",CLEAN
5YJSA1E44HF200450,67300,Model S,2017,Dual Motor 100Kwh Performance,Pearl White Multi-Coat,Black,"21"" Wheels",35185,"Elk Grove Village, IL",PREVIOUS ACCIDENT(S)
5YJSA1E22JF276057,67700,Model S,2018,Dual Motor 100Kwh,Pearl White Multi-Coat,Cream Premium,"19"" Sport Wheels",14433,"West Palm Beach, FL",CLEAN
5YJSA1E4XHF216409,74200,Model S,2017,Dual Motor 100Kwh Performance,Solid Black,Black,"19"" Sport Wheels",25412,"Lathrop, CA",CLEAN
5YJSA1E47LF395937,86000,Model S,2020,Dual Motor 100Kwh Performance,Pearl White Multi-Coat,Cream Premium,"19"" Sport Wheels",3593,"Lathrop, CA",CLEAN
5YJ3E1EA7KF297312,37100,Model 3,2019,Standard Range Plus RWD,Solid Black,Premium Black,"18"" Aero Wheels",12326,"Littleton, CO",CLEAN
5YJ3E1EA4KF476214,37700,Model 3,2019,Standard Range Plus RWD,Deep Blue Metallic,Premium Black,"18"" Aero Wheels",5357,"Lathrop, CA",CLEAN
5YJ3E1EAXKF410590,37700,Model 3,2019,Standard Range Plus RWD,Solid Black,Premium Black,"18"" Aero Wheels",17455,"Elk Grove Village, IL",CLEAN
5YJ3E1EA3KF307043,37800,Model 3,2019,Standard Range Plus RWD,Red Multi-Coat,Premium Black,"18"" Aero Wheels",18836,"Scottsdale, AZ",CLEAN
5YJ3E1EA8KF311489,38100,Model 3,2019,Standard Range Plus RWD,Deep Blue Metallic,Premium Black,"19"" Sport Wheels",3040,"Renton, WA",CLEAN
5YJ3E1EA8JF041873,38300,Model 3,2018,Long Range RWD,Deep Blue Metallic,Premium Black,"18"" Aero Wheels",20665,"Littleton, CO",PREVIOUS ACCIDENT(S)
